Feature,Target 1,Target 2,Target 3
Feature3,-4.512522027350769,51.67696221110237,115.29122512316462
Feature9,45.60888920559455,484.5661212572277,1356.8183492633416
Feature2,0.8617161589372699,107.12525709769308,-45.22102950001681
Feature21,14.604342580309549,-47.78601597751003,-207.1842924474804
Feature16,31.3984503105562,215.52939703000905,58.79726380853572
Feature25,-2.778428827384232,151.76276486398547,64.7081795805534
Feature20,-3.1464335057112294,15.937366582807044,258.6303054449272
Feature19,14.286514539617656,-107.67430532893924,-109.60321276543618
Feature18,15.117933637080569,231.77806156496624,31.55557251452228
Feature4,5.325767473037104,37.32395554896812,213.79257697124197
Feature17,3.5520398417679644,-125.3055425503062,220.2689461403952
